antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Course_9003'}),frozenset({'Daytime/evening attendance_1'}),0.04766490129995185,0.8895040924410207,0.04766490129995185,1.0,1.1242219215155616,0.00526677652784735,inf,0.11602628918099087
frozenset({'Nacionality_1.0'}),frozenset({'International_0'}),0.9561868078960039,0.9737602311025517,0.9561868078960039,1.0,1.026946847960445,0.025090120861979925,inf,0.5989010989011
frozenset({'Daytime/evening attendance_0'}),frozenset({'Educational special needs_0'}),0.1104959075589793,0.9886856042368801,0.1104959075589793,1.0,1.0114438763087412,0.0012501944283273975,inf,0.01271989174560212
"frozenset({""Father's occupation_90""})",frozenset({'Educational special needs_0'}),0.013962445835339432,0.9886856042368801,0.013962445835339432,1.0,1.0114438763087412,0.00015797663800215522,inf,0.011474609374999991
frozenset({'Course_9085'}),frozenset({'Daytime/evening attendance_1'}),0.07462686567164178,0.8895040924410207,0.07462686567164178,1.0,1.1242219215155616,0.00824596325067009,inf,0.11940686784599368
frozenset({'Course_9238'}),frozenset({'Daytime/evening attendance_1'}),0.08088589311506982,0.8895040924410207,0.08088589311506982,1.0,1.1242219215155616,0.008937560168468237,inf,0.12022001047668938
"frozenset({""Mother's qualification_4""})",frozenset({'Daytime/evening attendance_1'}),0.011314395763119885,0.8895040924410207,0.011314395763119885,1.0,1.1242219215155616,0.0012501944283274027,inf,0.11176040905770643
"frozenset({""Mother's qualification_34""})",frozenset({'Educational special needs_0'}),0.03033220991815118,0.9886856042368801,0.03033220991815118,1.0,1.0114438763087412,0.00034319062738399214,inf,0.011668321747765624
frozenset({'Marital status_4'}),frozenset({'Educational special needs_0'}),0.020943668753009147,0.9886856042368801,0.020943668753009147,1.0,1.0114438763087412,0.00023696495700323283,inf,0.01155642980083599
frozenset({'Previous qualification_12'}),frozenset({'International_0'}),0.010351468464130958,0.9737602311025517,0.010351468464130958,1.0,1.026946847960445,0.00027162014024802,inf,0.026514230114327426
frozenset({'Course_9147'}),frozenset({'Daytime/evening attendance_1'}),0.08545979778526722,0.8895040924410207,0.08545979778526722,1.0,1.1242219215155616,0.009442957916089956,inf,0.1208212687549356
frozenset({'Previous qualification_12'}),frozenset({'Educational special needs_0'}),0.010351468464130958,0.9886856042368801,0.010351468464130958,1.0,1.0114438763087412,0.00011712061093263268,inf,0.011432741425443956
frozenset({'Course_9119'}),frozenset({'Daytime/evening attendance_1'}),0.03755416466056813,0.8895040924410207,0.03755416466056813,1.0,1.1242219215155616,0.004149581506788826,inf,0.114807403701851
frozenset({'Educational special needs_1'}),frozenset({'Daytime/evening attendance_1'}),0.011314395763119885,0.8895040924410207,0.011314395763119885,1.0,1.1242219215155616,0.0012501944283274027,inf,0.11176040905770643
"frozenset({""Mother's occupation_90""})",frozenset({'Educational special needs_0'}),0.015647568608570053,0.9886856042368801,0.015647568608570053,1.0,1.0114438763087412,0.00017704278396793276,inf,0.011494252873563222
"frozenset({""Father's qualification_2""})",frozenset({'Educational special needs_0'}),0.015406836783822821,0.9886856042368801,0.015406836783822821,1.0,1.0114438763087412,0.00017431904882996355,inf,0.011491442542787222
frozenset({'Course_9130'}),frozenset({'Educational special needs_0'}),0.031295137217140105,0.9886856042368801,0.031295137217140105,1.0,1.0114438763087412,0.0003540855679358655,inf,0.011679920477137179
frozenset({'Application mode_18'}),frozenset({'Previous qualification_1'}),0.02720269619643717,0.8379874819451132,0.02720269619643717,1.0,1.1933352484918127,0.0044071773086668785,inf,0.1665429349170997
"frozenset({""Mother's occupation_6""})",frozenset({'Educational special needs_0'}),0.020943668753009147,0.9886856042368801,0.020943668753009147,1.0,1.0114438763087412,0.00023696495700323283,inf,0.01155642980083599
frozenset({'Application mode_18'}),frozenset({'Educational special needs_0'}),0.02720269619643717,0.9886856042368801,0.02720269619643717,1.0,1.0114438763087412,0.00030778207059040455,inf,0.011630784459292194
frozenset({'Course_9130'}),frozenset({'Daytime/evening attendance_1'}),0.031295137217140105,0.8895040924410207,0.031295137217140105,1.0,1.1242219215155616,0.003457984588990687,inf,0.11406560636182905
frozenset({'Previous qualification_3'}),frozenset({'International_0'}),0.029369282619162253,0.9737602311025517,0.029369282619162253,1.0,1.026946847960445,0.0007706431886106632,inf,0.02703373015873024
"frozenset({""Father's qualification_34""})",frozenset({'Educational special needs_0'}),0.025517573423206548,0.9886856042368801,0.025517573423206548,1.0,1.0114438763087412,0.00028871592462462875,inf,0.011610671936758894
frozenset({'Application mode_7'}),frozenset({'Educational special needs_0'}),0.03177660086663457,0.9886856042368801,0.03177660086663457,1.0,1.0114438763087412,0.00035953303821180393,inf,0.01168572849328699
frozenset({'Course_9670'}),frozenset({'Daytime/evening attendance_1'}),0.06259027443428021,0.8895040924410207,0.06259027443428021,1.0,1.1242219215155616,0.006915969177981374,inf,0.1178736517719569
frozenset({'Application mode_42'}),frozenset({'Educational special needs_0'}),0.016851227732306212,0.9886856042368801,0.016851227732306212,1.0,1.0114438763087412,0.00019066145965777187,inf,0.011508325171400477
frozenset({'Application mode_51'}),frozenset({'International_0'}),0.0137217140105922,0.9737602311025517,0.0137217140105922,1.0,1.026946847960445,0.00036005460451481695,inf,0.026604832804491087
frozenset({'Application mode_51'}),frozenset({'Educational special needs_0'}),0.0137217140105922,0.9886856042368801,0.0137217140105922,1.0,1.0114438763087412,0.00015525290286418775,inf,0.01147180864046868
"frozenset({""Mother's occupation_1""})",frozenset({'Educational special needs_0'}),0.023110255175734232,0.9886856042368801,0.023110255175734232,1.0,1.0114438763087412,0.00026147857324494705,inf,0.011582060128141954
frozenset({'Application mode_51'}),frozenset({'Application order_1'}),0.0137217140105922,0.6834376504573905,0.0137217140105922,1.0,1.463191264529764,0.0043437780269448105,inf,0.3209665608982182
"frozenset({""Mother's occupation_0""})",frozenset({'Educational special needs_0'}),0.033702455464612424,0.9886856042368801,0.033702455464612424,1.0,1.0114438763087412,0.00038132291931554374,inf,0.011709018435475721
frozenset({'Course_9254'}),frozenset({'Daytime/evening attendance_1'}),0.05729417428984112,0.8895040924410207,0.05729417428984112,1.0,1.1242219215155616,0.006330771785998335,inf,0.11721144024514815
frozenset({'Previous qualification_12'}),frozenset({'Nacionality_1.0'}),0.010351468464130958,0.9561868078960039,0.010351468464130958,1.0,1.0458207452165156,0.0004535308763774278,inf,0.044271466796399914
frozenset({'Course_171'}),frozenset({'Daytime/evening attendance_1'}),0.04742416947520462,0.8895040924410207,0.04742416947520462,1.0,1.1242219215155616,0.005240176646393577,inf,0.1159969673995451
"frozenset({""Mother's qualification_4""})",frozenset({'Marital status_1'}),0.011314395763119885,0.8854116514203177,0.011314395763119885,1.0,1.1294181620445896,0.001296497925672862,inf,0.1158996834672511
frozenset({'Course_9991'}),frozenset({'Educational special needs_0'}),0.061145883485796824,0.9886856042368801,0.061145883485796824,1.0,1.0114438763087412,0.0006918287250439192,inf,0.012051282051282008
frozenset({'Previous qualification_3'}),frozenset({'Educational special needs_0'}),0.029369282619162253,0.9886856042368801,0.029369282619162253,1.0,1.0114438763087412,0.00033229568683211877,inf,0.011656746031745994
frozenset({'Course_9254'}),frozenset({'Educational special needs_0'}),0.05729417428984112,0.9886856042368801,0.05729417428984112,1.0,1.0114438763087412,0.0006482489628364327,inf,0.012002042900919344
frozenset({'Course_9991'}),frozenset({'Daytime/evening attendance_0'}),0.061145883485796824,0.1104959075589793,0.061145883485796824,1.0,9.050108932461873,0.0543895135965381,inf,0.9474358974358974
frozenset({'Course_9500'}),frozenset({'Daytime/evening attendance_1'}),0.17356764564275398,0.8895040924410207,0.17356764564275398,1.0,1.1242219215155616,0.01917851452817143,inf,0.1337023011942908
frozenset({'Course_9070'}),frozenset({'Daytime/evening attendance_1'}),0.05055368319691863,0.8895040924410207,0.05055368319691863,1.0,1.1242219215155616,0.00558597510529265,inf,0.11637931034482767
frozenset({'Course_9853'}),frozenset({'Daytime/evening attendance_1'}),0.043331728454501686,0.8895040924410207,0.043331728454501686,1.0,1.1242219215155616,0.004787978661679411,inf,0.11550075490689482
frozenset({'Application order_6'}),frozenset({'Marital status_1'}),0.030572941742898412,0.8854116514203177,0.030572941742898412,1.0,1.1294181620445896,0.0035033029055415617,inf,0.1182021355848026
frozenset({'Course_9003'}),frozenset({'Educational special needs_0'}),0.04766490129995185,0.9886856042368801,0.04766490129995185,1.0,1.0114438763087412,0.000539299557317699,inf,0.011880687563195064
frozenset({'Course_9773'}),frozenset({'Daytime/evening attendance_1'}),0.07534906114588348,0.8895040924410207,0.07534906114588348,1.0,1.1242219215155616,0.008325762895031424,inf,0.11950013017443381
frozenset({'Course_8014'}),frozenset({'Daytime/evening attendance_0'}),0.04935002407318247,0.1104959075589793,0.04935002407318247,1.0,9.050108932461873,0.0438970483751587,inf,0.935679918966827
frozenset({'Course_9556'}),frozenset({'Daytime/evening attendance_1'}),0.019017814155031294,0.8895040924410207,0.019017814155031294,1.0,1.1242219215155616,0.002101390634848186,inf,0.11263803680981596
frozenset({'Course_8014'}),frozenset({'Educational special needs_0'}),0.04935002407318247,0.9886856042368801,0.04935002407318247,1.0,1.0114438763087412,0.0005583657032834782,inf,0.011901747277791806
frozenset({'Admission grade bins_91-100'}),frozenset({'Educational special needs_0'}),0.03490611458834858,0.9886856042368801,0.03490611458834858,1.0,1.0114438763087412,0.00039494159500538806,inf,0.011723621850835612
frozenset({'Age group_28-35'}),frozenset({'Educational special needs_0'}),0.1957149735194993,0.9886856042368801,0.19523350987000482,0.9975399753997539,1.0089556994912534,0.0017329330176736601,4.599301877708085,0.011036145841137391
frozenset({'Marital status_2'}),frozenset({'Educational special needs_0'}),0.08618199325950891,0.9886856042368801,0.08594126143476168,0.9972067039106145,1.008618614084415,0.0007343653546453832,4.05055368319688,0.009350842549875598
frozenset({'Application mode_17'}),frozenset({'Previous qualification_1'}),0.19691863264323545,0.8379874819451132,0.19619643716899374,0.9963325183374082,1.1889587133506445,0.03118108805221409,44.17541325629793,0.19789763281399406
frozenset({'Application mode_1'}),frozenset({'Previous qualification_1'}),0.38468945594607606,0.8379874819451132,0.3832450649975927,0.9962453066332917,1.1888546405500413,0.060880116478504887,43.14933397528577,0.25816926966601406
"frozenset({""Mother's occupation_7""})",frozenset({'International_0'}),0.061868078960038514,0.9737602311025517,0.061627347135291284,0.9961089494163424,1.0229509458283033,0.0013826722692932628,6.743620606644232,0.023915632217090133
"frozenset({""Father's occupation_10""})",frozenset({'Educational special needs_0'}),0.06066441983630236,0.9886856042368801,0.06042368801155513,0.996031746031746,1.007430210132913,0.00044564943002075447,2.8512277323062194,0.00785172993316331
frozenset({'Unemployment rate bins_5-10%'}),frozenset({'Educational special needs_0'}),0.33172845450168514,0.9886856042368801,0.3300433317284545,0.9949201741654572,1.0063059175756779,0.0020681842468895373,2.227319623082746,0.009377029745426502
